Strains	Ensifer_adhaerens_AG1206	Ensifer_adhaerens_Casida_A	Ensifer_adhaerens_L18	Ensifer_adhaerens_M78	Ensifer_adhaerens_OV14	Ensifer_adhaerens_SD006	Ensifer_adhaerens_ST2	Ensifer_adhaerens_WJB133_25_10	Ensifer_alkalisoli_YIC4027	Ensifer_aridi_JNVU_TP6	Ensifer_aridi_LEM451	Ensifer_aridi_LEM457	Ensifer_aridi_LMR001	Ensifer_aridi_LMR013	Ensifer_aridi_TW10	Ensifer_glycinis_CCBAU_23380	Ensifer_morelense_Lc04	Ensifer_psoraleae_CCBAU_65732	Ensifer_sesbaniae_CCBAU_65729	Ensifer_shofinae_CCBAU_251167	Ensifer_sojae_CCBAU_05684	Ensifer_sp_1H6	Ensifer_sp_AP48	Ensifer_sp_BR816	Ensifer_sp_LC11	Ensifer_sp_LC13	Ensifer_sp_LC14	Ensifer_sp_LC163	Ensifer_sp_LC384	Ensifer_sp_LC499	Ensifer_sp_LC54	Ensifer_sp_LCM_4579	Ensifer_sp_M14	Ensifer_sp_MMN_5	Ensifer_sp_NM_2	Ensifer_sp_OV372	Ensifer_sp_Root1252	Ensifer_sp_Root127	Ensifer_sp_Root1298	Ensifer_sp_Root1312	Ensifer_sp_Root142	Ensifer_sp_Root231	Ensifer_sp_Root258	Ensifer_sp_Root278	Ensifer_sp_Root31	Ensifer_sp_Root423	Ensifer_sp_Root558	Ensifer_sp_Root74	Ensifer_sp_Root954	Ensifer_sp_T2_8	Ensifer_sp_USDA_6670	Ensifer_sp_WSM1721	Ensifer_sp_YR511	Ensifer_sp_ZNC0028	Sinorhizobium_americanum_CCGM7	Sinorhizobium_americanum_CFNEI_156	Sinorhizobium_americanum_CFNEI_73	Sinorhizobium_americanum_FG01	Sinorhizobium_americanum_NG07B	Sinorhizobium_arboris_LMG_14919	Sinorhizobium_fredii_CCBAU_05557	Sinorhizobium_fredii_CCBAU_25509	Sinorhizobium_fredii_CCBAU_45436	Sinorhizobium_fredii_CCBAU_83622	Sinorhizobium_fredii_CCBAU_83643	Sinorhizobium_fredii_CCBAU_83666	Sinorhizobium_fredii_CCBAU_83753	Sinorhizobium_fredii_GR64	Sinorhizobium_fredii_HH103	Sinorhizobium_fredii_NGR234	Sinorhizobium_fredii_NXT3	Sinorhizobium_fredii_PCH1	Sinorhizobium_fredii_USDA_205	Sinorhizobium_fredii_USDA_257	Sinorhizobium_medicae_DI28	Sinorhizobium_medicae_Str1	Sinorhizobium_medicae_Str10	Sinorhizobium_medicae_Str11	Sinorhizobium_medicae_Str12	Sinorhizobium_medicae_Str13	Sinorhizobium_medicae_Str14	Sinorhizobium_medicae_Str15	Sinorhizobium_medicae_Str16	Sinorhizobium_medicae_Str17	Sinorhizobium_medicae_Str18	Sinorhizobium_medicae_Str3	Sinorhizobium_medicae_Str6	Sinorhizobium_medicae_Str7	Sinorhizobium_medicae_Str8	Sinorhizobium_medicae_Str9	Sinorhizobium_medicae_WSM1115	Sinorhizobium_medicae_WSM1369	Sinorhizobium_medicae_WSM244	Sinorhizobium_medicae_WSM419	Sinorhizobium_meliloti_1021	Sinorhizobium_meliloti_1A42	Sinorhizobium_meliloti_2011	Sinorhizobium_meliloti_4H41	Sinorhizobium_meliloti_5A14	Sinorhizobium_meliloti_A0641M	Sinorhizobium_meliloti_A0643DD	Sinorhizobium_meliloti_AC50a	Sinorhizobium_meliloti_AE608H	Sinorhizobium_meliloti_AK11	Sinorhizobium_meliloti_AK170	Sinorhizobium_meliloti_AK555	Sinorhizobium_meliloti_AK58	Sinorhizobium_meliloti_AK75	Sinorhizobium_meliloti_AK83	Sinorhizobium_meliloti_B399	Sinorhizobium_meliloti_B401	Sinorhizobium_meliloti_BL225C	Sinorhizobium_meliloti_BM806	Sinorhizobium_meliloti_BO21CC	Sinorhizobium_meliloti_C0431A	Sinorhizobium_meliloti_C0438LL	Sinorhizobium_meliloti_CCMM_B554_FSM_MA	Sinorhizobium_meliloti_CCNWSX0020	Sinorhizobium_meliloti_CIAM1775	Sinorhizobium_meliloti_CXM1_105	Sinorhizobium_meliloti_DSM_23914	Sinorhizobium_meliloti_GR4	Sinorhizobium_meliloti_GVPV12	Sinorhizobium_meliloti_H1	Sinorhizobium_meliloti_HM006	Sinorhizobium_meliloti_KH35c	Sinorhizobium_meliloti_KH46	Sinorhizobium_meliloti_L5_30	Sinorhizobium_meliloti_M162	Sinorhizobium_meliloti_M270	Sinorhizobium_meliloti_Mlalz_1	Sinorhizobium_meliloti_MVII_I	Sinorhizobium_meliloti_Rm41	Sinorhizobium_meliloti_RMO17	Sinorhizobium_meliloti_RRl128	Sinorhizobium_meliloti_RU11_011	Sinorhizobium_meliloti_SM11	Sinorhizobium_meliloti_T073	Sinorhizobium_meliloti_USDA1021	Sinorhizobium_meliloti_USDA1106	Sinorhizobium_meliloti_USDA1157	Sinorhizobium_meliloti_WSM1022	Sinorhizobium_meliloti_WSM4191	Sinorhizobium_saheli_LMG_7837	Sinorhizobium_sp_A49	Sinorhizobium_sp_BJ1	Sinorhizobium_sp_CCBAU_05631	Sinorhizobium_sp_FG01	Sinorhizobium_sp_GL2	Sinorhizobium_sp_GL28	Sinorhizobium_sp_GW3	Sinorhizobium_sp_LM21	Sinorhizobium_sp_M4_45	Sinorhizobium_sp_NFACC03	Sinorhizobium_sp_NG07B	Sinorhizobium_sp_PC2	Sinorhizobium_sp_Sb3
Ensifer_sp_LC163	85.24	85.33	85.26	85.68	93.45	95.36	85.19	85.25	79.98	81.45	81.53	81.53	81.45	81.53	81.55	81.58	92.64	82.29	85.47	80.59	80.61	93.60	85.65	81.19	86.03	86.05	86.03	100	98.90	86.04	98.91	80.40	92.63	80.92	93.62	85.29	93.42	93.52	85.05	85.05	93.54	93.43	93.43	85.68	93.39	85.17	85.32	85.07	85.05	81.12	80.97	81.55	85.05	85.36	81.11	81.19	81.21	81.49	81.56	80.66	81.23	81.05	81.18	81.24	81.28	81.07	81.09	81.35	81.17	81.25	81.46	81.13	81.30	81.31	80.33	80.06	80.09	80.28	79.98	80.06	80.37	80.21	80.08	80.01	80.28	80.36	80.24	80.33	80.20	79.83	80.21	80.43	80.25	80.21	81.15	80.83	81.13	80.90	81.00	80.82	81.07	80.92	81.10	80.87	81.04	81.09	81.07	81.08	81.14	81.25	81.31	81.09	81.11	80.97	80.98	81.09	81.02	80.89	81.15	81.09	81.12	81.01	80.84	81.01	80.90	81.02	80.99	80.97	81.01	80.41	80.91	80.91	81.00	81.04	80.92	80.93	80.96	80.99	81.04	81.15	81.00	80.86	80.10	81.34	92.76	81.26	81.47	81.49	85.15	85.54	85.07	85.16	80.84	85.77	81.56	81.39	85.36
Ensifer_sp_LC384	85.20	85.30	85.17	85.51	93.38	95.36	84.99	85.12	80.00	81.38	81.35	81.52	81.48	81.52	81.53	81.69	92.46	82.15	85.40	80.56	80.60	93.44	85.60	81.25	85.87	85.90	85.88	98.90	100	85.90	99.99	80.30	92.40	80.87	93.37	85.27	93.31	93.43	84.94	84.94	93.47	93.34	93.32	85.55	93.14	85.10	85.27	84.96	84.94	81.06	80.94	81.51	84.95	85.27	81.07	81.16	81.19	81.36	81.45	80.63	81.27	81.11	81.24	81.24	81.30	81.08	81.12	81.14	81.03	81.06	81.37	81.00	81.32	81.33	80.35	80.09	80.13	80.29	80.04	80.10	80.36	80.16	80.11	80.04	80.27	80.33	80.20	80.28	80.11	79.70	80.21	80.36	80.10	80.23	81.12	80.76	81.09	80.90	80.64	80.78	80.95	80.99	80.92	80.81	81.04	81.02	80.97	80.89	81.18	81.51	81.29	81.04	81.04	80.93	80.92	80.98	80.96	80.81	81.04	81.06	81.00	81.02	80.78	80.92	80.98	81.03	81.00	80.90	80.92	80.49	80.90	80.81	80.94	80.95	80.89	80.67	80.81	80.98	80.94	81.11	80.90	80.92	80.06	81.27	92.62	81.17	81.36	81.36	85.07	85.54	84.92	84.80	80.85	85.70	81.45	81.30	85.16
Ensifer_sp_LC499	91.19	91.30	91.41	91.59	85.08	85.48	91.16	91.36	80.26	81.09	81.15	81.21	81.20	81.21	81.11	81.52	85.15	81.74	91.19	80.76	80.30	85.17	91.60	81.15	100.00	100.00	99.99	86.04	85.90	100	85.90	80.50	85.13	80.65	85.15	91.30	85.13	85.18	91.19	91.20	85.20	85.15	85.13	91.66	85.05	91.15	91.30	91.21	91.18	80.72	80.89	81.13	91.23	91.12	80.79	81.01	81.01	81.17	81.22	80.59	81.16	81.08	81.05	81.18	81.10	81.07	81.14	81.27	81.05	81.26	81.02	80.97	81.16	81.14	79.88	79.74	79.75	79.84	79.70	79.69	79.88	79.79	79.74	79.63	79.88	79.94	79.69	79.89	79.81	79.39	79.87	80.21	79.73	79.80	80.60	80.25	80.57	80.67	80.31	80.40	80.75	80.79	80.58	80.54	80.77	80.61	80.65	80.25	80.85	81.10	80.88	80.49	80.66	80.50	80.32	80.60	80.71	80.56	80.70	80.68	80.66	80.59	80.56	80.57	80.49	80.74	80.55	80.66	80.66	79.92	80.71	80.71	80.65	80.58	80.55	80.59	80.65	80.54	80.57	80.63	80.52	80.68	79.70	81.23	85.18	81.08	81.13	81.17	91.20	91.44	91.17	91.22	80.68	91.54	81.22	81.09	91.42
Ensifer_sp_LC54	85.20	85.30	85.18	85.53	93.44	95.37	84.99	85.13	80.04	81.43	81.39	81.56	81.52	81.54	81.56	81.71	92.47	82.18	85.42	80.59	80.65	93.46	85.61	81.30	85.88	85.90	85.88	98.91	99.99	85.90	100	80.34	92.40	80.91	93.36	85.26	93.32	93.44	84.93	84.94	93.48	93.34	93.33	85.57	93.16	85.09	85.27	84.96	84.94	81.08	80.99	81.55	84.94	85.27	81.10	81.18	81.23	81.39	81.48	80.65	81.32	81.13	81.24	81.27	81.32	81.13	81.14	81.28	81.07	81.18	81.37	81.03	81.35	81.36	80.35	80.12	80.14	80.32	80.06	80.11	80.38	80.18	80.13	80.03	80.30	80.35	80.23	80.31	80.14	79.73	80.24	80.40	80.14	80.24	81.14	80.78	81.11	80.94	80.99	80.84	80.99	80.99	80.97	80.84	81.07	81.08	81.01	80.92	81.21	81.54	81.31	81.06	81.07	80.94	80.86	81.02	80.98	80.84	81.04	81.08	81.02	81.04	80.83	80.94	80.99	81.06	81.03	80.91	80.94	80.47	80.92	80.84	80.94	80.95	80.91	80.86	80.85	81.00	80.96	81.14	80.94	80.95	80.10	81.32	92.62	81.21	81.39	81.39	85.09	85.57	84.92	84.80	80.86	85.71	81.47	81.33	85.18
Ensifer_sp_LCM_4579	79.70	80.03	80.23	80.33	79.83	80.20	79.92	79.85	95.02	84.61	84.18	84.43	85.12	85.14	84.69	84.66	79.90	83.24	80.56	84.34	91.51	79.94	80.10	84.27	80.54	80.53	80.52	80.40	80.30	80.50	80.34	100	79.80	82.83	79.66	79.91	79.75	79.59	79.78	79.80	79.58	79.76	79.72	80.24	79.58	79.90	79.92	79.79	79.73	83.31	83.06	84.57	79.61	80.06	84.16	84.09	84.10	84.39	84.46	84.16	84.42	84.56	84.52	84.66	84.41	84.67	84.39	84.16	84.35	84.47	84.38	84.32	84.61	84.42	82.52	82.09	82.07	82.38	82.12	82.00	82.30	82.18	82.19	81.92	82.45	82.39	82.23	82.40	82.37	81.79	82.48	82.71	82.45	82.43	83.22	82.68	83.16	82.93	83.17	83.01	83.16	83.34	83.20	82.98	83.38	83.15	83.17	82.83	83.28	83.68	83.49	83.22	83.25	83.08	82.91	83.07	83.22	83.02	83.18	83.31	83.24	83.04	82.78	82.94	83.17	83.23	83.31	83.14	83.26	82.82	83.08	83.16	83.16	83.26	83.02	83.11	83.12	83.26	83.26	83.18	83.11	83.19	82.19	84.24	79.96	84.46	84.50	84.41	79.65	79.89	79.66	79.91	83.13	80.21	84.46	84.51	79.92
Ensifer_sp_M14	84.30	84.70	84.71	84.91	92.36	92.40	84.10	84.41	79.33	80.71	80.64	80.71	80.68	80.70	80.81	80.82	94.88	81.18	84.51	79.62	79.88	92.54	84.91	80.40	85.12	85.14	85.14	92.63	92.40	85.13	92.40	79.80	100	80.22	92.46	84.62	92.56	92.46	84.34	84.35	92.54	92.54	92.57	84.95	92.49	84.45	84.68	84.36	84.33	80.17	80.18	80.67	84.14	84.68	80.26	80.36	80.41	80.77	80.68	80.13	80.48	80.41	80.39	80.58	80.54	80.49	80.31	80.44	80.28	80.48	80.59	80.40	80.56	80.14	79.84	79.49	79.55	79.81	79.49	79.44	79.90	79.72	79.54	79.44	79.88	79.86	79.76	79.80	79.75	79.39	79.92	79.90	79.79	79.72	80.25	79.91	80.23	80.19	80.15	79.89	80.10	80.25	80.12	80.17	80.46	80.35	80.26	80.11	80.35	80.74	80.47	80.22	80.34	80.21	80.13	80.22	80.28	80.30	80.38	80.38	80.29	80.07	80.09	80.20	80.23	80.31	80.28	80.28	80.48	79.66	80.25	80.08	80.19	80.23	80.22	80.07	80.16	80.31	80.32	80.19	79.92	80.29	79.58	80.47	98.93	80.22	80.59	80.77	84.37	84.59	84.29	84.32	80.15	85.02	80.68	80.46	84.47
Ensifer_sp_MMN_5	79.84	79.98	80.41	80.38	80.17	80.45	80.22	80.16	82.94	86.19	86.09	86.17	86.15	86.16	86.11	84.61	80.34	84.33	80.58	84.05	83.25	80.20	80.29	84.51	80.66	80.67	80.67	80.92	80.87	80.65	80.91	82.83	80.22	100	80.01	80.06	80.05	80.05	79.92	79.93	80.01	80.05	80.02	80.39	79.95	79.91	79.88	79.93	79.91	95.70	94.99	86.40	79.72	80.22	84.48	84.46	84.45	84.52	84.48	92.16	84.41	84.45	84.47	84.37	84.40	84.33	84.34	84.39	84.41	84.12	84.29	84.18	84.65	84.74	90.83	90.58	90.73	90.75	90.69	90.67	90.62	90.67	90.76	90.51	90.88	90.92	90.65	90.80	90.91	90.75	90.89	90.99	90.91	90.86	95.75	95.15	95.74	99.00	95.46	95.22	95.14	97.86	95.56	95.08	95.72	95.47	95.35	94.96	95.58	95.80	95.80	95.71	95.68	95.52	95.31	95.39	95.63	95.49	95.51	95.66	95.73	95.63	95.42	95.42	95.68	95.67	95.64	95.62	95.69	95.13	95.66	95.43	95.50	95.70	95.59	95.35	95.57	95.52	95.61	95.74	95.50	95.69	90.86	85.50	80.51	84.54	84.60	84.51	79.94	80.34	79.82	79.98	99.45	80.34	84.48	86.01	80.04
Ensifer_sp_NM_2	84.09	84.24	84.38	85.08	98.70	93.15	84.08	84.19	79.28	80.44	80.47	80.56	80.48	80.45	80.56	80.65	91.97	81.10	84.62	79.91	79.93	98.97	84.87	80.38	85.14	85.16	85.14	93.62	93.37	85.15	93.36	79.66	92.46	80.01	100	84.19	99.17	99.32	84.00	84.02	99.17	99.17	99.18	85.02	98.95	84.25	84.26	84.02	84.00	80.02	80.03	80.58	83.91	84.49	80.06	80.16	80.11	80.64	80.57	79.93	80.35	80.25	80.25	80.43	80.37	80.26	80.25	80.39	80.22	80.28	80.38	80.38	80.41	80.16	79.39	79.14	79.14	79.45	79.13	79.13	79.49	79.31	79.20	79.16	79.45	79.47	79.32	79.45	79.35	79.00	79.41	79.46	79.31	79.31	80.15	79.78	80.17	80.09	79.88	79.95	80.01	80.05	80.21	80.03	80.30	80.21	80.07	80.00	80.06	80.79	80.42	80.12	80.16	79.95	80.06	80.17	80.13	80.10	80.21	80.23	80.15	80.03	79.98	79.99	80.06	80.09	80.21	80.20	80.31	79.68	80.07	80.03	80.11	80.21	79.99	80.00	80.07	79.95	80.20	80.17	79.97	80.06	79.19	80.58	92.57	80.30	80.59	80.64	84.09	84.79	84.08	84.02	79.96	84.93	80.58	80.27	84.52
Ensifer_sp_OV372	98.88	99.70	93.85	90.98	84.28	84.80	93.28	98.99	79.53	80.36	80.41	80.48	80.43	80.46	80.46	80.77	84.67	80.94	90.76	79.98	79.80	84.31	91.07	80.27	91.29	91.30	91.29	85.29	85.27	91.30	85.26	79.91	84.62	80.06	84.19	100	84.23	84.24	98.98	98.99	84.22	84.25	84.25	91.09	84.10	99.45	99.53	98.99	99.00	80.04	80.16	80.58	98.64	95.69	80.22	80.23	80.30	80.36	80.42	80.00	80.34	80.14	80.35	80.36	80.25	80.24	80.16	80.23	80.19	80.37	80.22	80.20	80.40	80.08	79.46	79.27	79.33	79.40	79.21	79.30	79.47	79.38	79.28	79.23	79.44	79.54	79.32	79.46	79.30	79.14	79.49	79.61	79.30	79.50	80.18	79.84	80.16	80.10	80.26	79.98	80.16	80.20	80.31	80.09	80.33	80.38	80.22	80.04	80.40	80.70	80.45	80.25	80.13	80.05	80.19	80.23	80.13	80.14	80.26	80.20	80.21	80.09	79.90	80.23	80.19	80.14	80.18	80.26	80.27	79.79	80.17	80.21	80.12	80.17	80.06	80.23	80.31	80.25	80.18	80.16	80.07	80.02	79.41	80.53	84.61	80.09	80.42	80.36	98.56	91.05	98.95	99.07	79.99	90.98	80.43	80.18	90.88
Ensifer_sp_Root1252	84.15	84.29	84.42	85.06	98.83	93.09	84.09	84.22	79.36	80.53	80.48	80.63	80.54	80.57	80.60	80.70	92.08	81.08	84.58	79.83	79.92	98.89	84.93	80.32	85.12	85.13	85.12	93.42	93.31	85.13	93.32	79.75	92.56	80.05	99.17	84.23	100	99.44	83.99	84.00	99.16	99.98	99.98	84.97	99.19	84.30	84.28	84.01	84.01	80.16	80.20	80.56	84.06	84.43	80.03	80.22	80.24	80.62	80.61	79.95	80.27	80.19	80.26	80.27	80.37	80.04	80.25	80.42	80.23	80.29	80.44	80.22	80.35	80.31	79.51	79.35	79.32	79.53	79.35	79.32	79.55	79.42	79.38	79.37	79.54	79.57	79.36	79.52	79.47	79.11	79.58	79.58	79.41	79.43	80.26	79.88	80.28	80.14	80.12	79.83	80.05	80.03	80.11	80.14	80.33	80.22	80.13	80.11	80.22	80.46	80.48	80.24	80.30	80.05	80.04	80.13	80.20	80.04	80.26	80.29	80.25	80.01	79.93	80.02	80.12	80.20	80.26	80.23	80.37	79.78	80.14	80.15	80.24	80.29	80.11	80.15	80.21	80.07	80.33	80.24	80.04	80.18	79.41	80.58	92.58	80.27	80.48	80.62	84.21	84.87	84.07	84.05	80.06	84.97	80.61	80.37	84.61
Ensifer_sp_Root127	84.18	84.32	84.44	85.02	98.82	93.09	84.03	84.20	79.30	80.42	80.42	80.51	80.37	80.45	80.48	80.61	92.04	81.04	84.59	79.74	79.96	98.94	84.85	80.19	85.17	85.17	85.15	93.52	93.43	85.18	93.44	79.59	92.46	80.05	99.32	84.24	99.44	100	84.15	84.16	99.11	99.42	99.44	84.90	99.14	84.31	84.30	84.16	84.17	80.07	80.21	80.48	83.98	84.49	79.95	80.15	80.12	80.45	80.50	79.89	80.26	80.26	80.22	80.31	80.27	80.12	80.17	80.26	80.35	80.19	80.31	80.18	80.26	80.09	79.51	79.31	79.32	79.52	79.27	79.26	79.52	79.52	79.34	79.35	79.68	79.53	79.54	79.54	79.52	79.11	79.58	79.63	79.56	79.52	80.19	79.77	80.17	80.12	79.83	79.88	79.99	80.06	80.17	80.08	80.31	80.30	80.15	80.07	80.23	80.76	80.44	80.16	80.20	80.00	80.08	80.15	80.13	79.98	80.29	80.34	80.22	79.97	80.01	79.97	80.04	80.05	80.30	80.29	80.37	79.81	80.16	80.14	80.24	80.28	80.13	80.09	80.13	80.06	80.26	80.16	80.10	80.10	79.36	80.48	92.52	80.18	80.38	80.45	84.13	84.88	84.14	84.06	80.01	84.94	80.50	80.17	84.59
Ensifer_sp_Root1298	98.88	98.98	93.76	90.91	84.00	84.50	93.27	99.17	79.30	80.35	80.29	80.42	80.23	80.23	80.42	80.82	84.41	80.71	90.63	79.56	79.64	84.14	91.07	80.06	91.19	91.20	91.20	85.05	84.94	91.19	84.93	79.78	84.34	79.92	84.00	98.98	83.99	84.15	100	99.99	83.98	84.01	84.01	91.09	83.87	99.01	98.95	99.98	99.98	80.01	79.98	80.33	98.79	95.66	80.16	80.17	80.24	80.40	80.38	79.83	80.22	80.07	80.23	80.25	79.98	79.86	79.91	80.16	80.15	80.33	80.30	80.10	80.12	79.96	79.21	79.10	79.11	79.18	79.02	79.14	79.26	79.11	79.07	79.02	79.18	79.30	79.06	79.20	79.19	78.91	79.27	79.45	79.15	79.24	80.00	79.79	79.86	79.98	80.04	79.72	79.98	79.94	80.08	79.91	80.17	80.11	79.95	79.75	80.24	80.45	80.17	79.94	79.92	79.88	79.76	80.01	79.91	79.93	80.05	80.00	79.96	79.87	79.96	79.99	79.79	79.95	79.90	80.01	80.13	79.53	79.91	79.93	79.89	79.92	79.89	79.93	79.96	79.99	79.99	79.86	79.78	79.93	79.16	80.36	84.44	80.06	80.27	80.40	98.63	90.98	98.84	99.03	79.92	90.97	80.38	80.31	90.99
Ensifer_sp_Root1312	98.88	98.99	93.76	90.93	84.02	84.51	93.27	99.18	79.33	80.37	80.30	80.44	80.25	80.25	80.44	80.84	84.42	80.72	90.64	79.57	79.65	84.16	91.09	80.09	91.20	91.20	91.19	85.05	84.94	91.20	84.94	79.80	84.35	79.93	84.02	98.99	84.00	84.16	99.99	100	83.99	84.02	84.01	91.12	83.87	99.01	98.95	99.98	99.99	80.01	79.99	80.35	98.80	95.65	80.16	80.18	80.25	80.40	80.40	79.84	80.23	80.09	80.25	80.27	80.00	79.87	79.93	80.18	80.17	80.34	80.33	80.11	80.14	79.98	79.22	79.10	79.12	79.19	79.04	79.15	79.27	79.12	79.07	79.02	79.19	79.31	79.08	79.23	79.19	78.90	79.28	79.46	79.16	79.25	80.01	79.79	79.87	80.00	80.05	79.72	80.00	79.95	80.09	79.91	80.19	80.12	79.96	79.87	80.25	80.17	80.22	79.99	79.93	79.89	79.75	80.02	79.94	79.94	80.07	80.01	79.97	79.88	79.97	79.97	79.80	79.97	79.94	80.02	80.15	79.55	79.92	79.95	79.90	79.97	79.91	79.94	80.07	79.99	80.00	80.00	79.79	79.95	79.17	80.38	84.44	80.07	80.28	80.40	98.63	91.00	98.84	99.05	79.93	90.98	80.40	80.39	91.00
Ensifer_sp_Root142	84.19	84.31	84.43	85.05	98.80	93.14	84.18	84.20	79.40	80.41	80.43	80.60	80.45	80.44	80.40	80.59	92.05	81.12	84.60	79.77	79.99	98.90	84.92	80.35	85.20	85.20	85.19	93.54	93.47	85.20	93.48	79.58	92.54	80.01	99.17	84.22	99.16	99.11	83.98	83.99	100	99.15	99.16	84.92	99.25	84.27	84.22	83.99	83.97	80.04	80.17	80.50	84.02	84.55	80.01	80.20	80.22	80.62	80.56	79.92	80.40	80.35	80.32	80.34	80.38	80.20	80.20	80.34	80.28	80.31	80.36	80.26	80.40	80.30	79.35	79.27	79.23	79.42	79.23	79.21	79.41	79.45	79.30	79.29	79.60	79.42	79.47	79.44	79.47	79.02	79.47	79.49	79.54	79.55	80.17	79.89	80.16	80.15	80.06	79.92	80.02	80.04	80.15	80.02	80.31	80.19	80.15	80.05	80.12	80.74	80.45	80.10	80.18	80.05	79.96	80.11	80.12	80.01	80.23	80.22	80.13	80.01	79.96	79.99	79.97	80.10	80.22	80.27	80.33	79.63	80.13	80.11	80.12	80.18	80.01	80.12	80.00	79.98	80.18	80.15	80.04	80.11	79.29	80.62	92.51	80.28	80.50	80.62	84.05	84.86	84.05	84.02	80.03	84.92	80.56	80.26	84.62
Ensifer_sp_Root231	84.16	84.30	84.44	85.10	98.82	93.09	84.13	84.25	79.36	80.55	80.50	80.65	80.56	80.58	80.61	80.73	92.08	81.11	84.59	79.85	79.94	98.88	84.95	80.34	85.15	85.15	85.14	93.43	93.34	85.15	93.34	79.76	92.54	80.05	99.17	84.25	99.98	99.42	84.01	84.02	99.15	100	99.97	85.00	99.18	84.33	84.30	84.03	84.02	80.16	80.23	80.57	84.07	84.45	80.02	80.23	80.26	80.64	80.62	79.98	80.27	80.20	80.25	80.29	80.38	80.05	80.27	80.38	80.23	80.30	80.46	80.24	80.37	80.30	79.51	79.36	79.32	79.56	79.35	79.32	79.57	79.41	79.38	79.39	79.56	79.61	79.38	79.56	79.48	79.14	79.60	79.60	79.42	79.44	80.28	79.82	80.29	80.15	80.13	79.85	80.05	80.06	80.13	80.15	80.35	80.25	80.12	80.06	80.24	80.78	80.49	80.23	80.30	80.07	80.03	80.17	80.23	80.06	80.27	80.35	80.27	80.03	79.96	80.02	80.14	80.20	80.26	80.26	80.37	79.77	80.17	80.17	80.28	80.30	80.11	80.02	80.11	80.09	80.35	80.30	80.07	80.21	79.42	80.58	92.56	80.28	80.48	80.64	84.21	84.88	84.08	84.06	80.08	84.98	80.62	80.29	84.60
Ensifer_sp_Root258	84.16	84.29	84.45	85.09	98.84	93.10	84.11	84.24	79.33	80.53	80.48	80.64	80.53	80.56	80.59	80.71	92.09	81.10	84.58	79.83	79.91	98.88	84.94	80.33	85.12	85.13	85.12	93.43	93.32	85.13	93.33	79.72	92.57	80.02	99.18	84.25	99.98	99.44	84.01	84.01	99.16	99.97	100	85.01	99.19	84.33	84.28	84.02	84.01	80.14	80.20	80.54	84.07	84.41	80.01	80.21	80.24	80.60	80.59	79.96	80.26	80.16	80.26	80.27	80.33	80.02	80.24	80.42	80.21	80.28	80.45	80.22	80.34	80.29	79.52	79.35	79.31	79.55	79.35	79.32	79.56	79.41	79.38	79.36	79.56	79.59	79.36	79.54	79.47	79.11	79.59	79.57	79.40	79.42	80.23	79.86	80.27	80.12	80.09	79.84	80.03	80.03	80.09	80.12	80.32	80.21	80.12	80.10	80.19	80.76	80.47	80.24	80.28	80.05	80.03	80.11	80.20	80.03	80.24	80.30	80.24	80.01	79.92	80.01	80.11	80.18	80.24	80.21	80.36	79.77	80.12	80.13	80.23	80.27	80.08	80.12	80.19	80.06	80.30	80.22	80.04	80.17	79.41	80.55	92.58	80.26	80.45	80.60	84.20	84.87	84.08	84.06	80.05	85.00	80.59	80.37	84.62
Ensifer_sp_Root278	90.99	91.18	91.23	96.76	85.02	85.29	91.07	91.23	79.91	80.94	80.96	80.98	81.09	81.05	80.96	81.21	84.99	81.70	92.85	80.33	80.03	85.06	97.92	80.72	91.68	91.68	91.67	85.68	85.55	91.66	85.57	80.24	84.95	80.39	85.02	91.09	84.97	84.90	91.09	91.12	84.92	85.00	85.01	100	84.82	91.08	91.12	91.12	91.10	80.62	80.40	81.20	90.97	91.10	80.60	80.71	80.74	80.77	80.80	80.38	80.82	80.69	80.86	80.78	80.82	80.65	80.61	80.77	80.87	80.88	80.74	80.74	80.83	80.66	79.97	79.74	79.79	79.94	79.69	79.66	79.94	79.78	79.78	79.63	79.87	80.01	79.86	79.96	79.75	79.46	79.98	80.02	79.85	79.94	80.85	80.36	80.85	80.44	80.72	80.52	80.77	80.41	80.77	80.51	80.88	80.84	80.79	80.67	80.76	80.81	80.86	80.73	80.74	80.60	80.54	80.77	80.82	80.60	80.87	80.81	80.74	80.69	80.44	80.66	80.80	80.77	80.76	80.91	80.95	80.32	80.57	80.66	80.76	80.77	80.62	80.67	80.74	80.56	80.81	80.83	80.59	80.65	79.76	80.82	85.14	80.64	80.82	80.78	90.95	97.89	91.02	91.06	80.39	97.84	80.80	80.77	97.74
