#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Mesorhizobium ciceri","Bacteria;Proteobacteria;Alphaproteobacteria","CC1192","SAMN04604738","PRJNA317272","GCA_001618825.1","Complete",6.94363,62.4946,"chromosome:NZ_CP015062.1/CP015062.1; plasmid pMc1192:NZ_CP015063.1/CP015063.1",,2,6551,"2016-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/825/GCA_001618825.1_ASM161882v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/825/GCF_001618825.1_ASM161882v1"
"Mesorhizobium ciceri biovar biserrulae","Bacteria;Proteobacteria;Alphaproteobacteria","WSM1284","SAMN04604739","PRJNA317273","GCA_001618845.1","Complete",6.88045,62.5149,"chromosome:NZ_CP015064.1/CP015064.1; plasmid pMc1284:NZ_CP015065.1/CP015065.1",,2,6410,"2016-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/845/GCA_001618845.1_ASM161884v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/845/GCF_001618845.1_ASM161884v1"
"Neorhizobium sp. SOG26","Bacteria;Proteobacteria;Alphaproteobacteria","SOG26","SAMN08182042","PRJNA422578","GCA_003491345.1","Complete",4.56117,61.1983,"chromosome:NZ_CP025512.1/CP025512.1; plasmid unnamed1:NZ_CP025514.1/CP025514.1; plasmid unnamed2:NZ_CP025513.1/CP025513.1",,3,4319,"2018-09-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/491/345/GCA_003491345.1_ASM349134v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/345/GCF_003491345.1_ASM349134v1"
"Neorhizobium galegae bv. orientalis str. HAMBI 540","Bacteria;Proteobacteria;Alphaproteobacteria","HAMBI 540","SAMEA3139073","PRJEB1950","GCA_000731315.1","Complete",6.45503,61.248,"chromosome I:NZ_HG938353.1/HG938353.1; plasmid II:NZ_HG938354.1/HG938354.1",,2,6033,"2014-06-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/315/GCA_000731315.1_RG540_Ch_pA","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/315/GCF_000731315.1_RG540_Ch_pA"
"Neorhizobium sp. NCHU2750","Bacteria;Proteobacteria;Alphaproteobacteria","NCHU2750","SAMN05440177","PRJNA334364","GCA_003597675.1","Complete",6.35124,60.2713,"chromosome:NZ_CP030827.1/CP030827.1; plasmid pNCHU2750a:NZ_CP030828.1/CP030828.1; plasmid pNCHU2750b:NZ_CP030829.1/CP030829.1; plasmid pNCHU2750c:NZ_CP030830.1/CP030830.1; plasmid pNCHU2750d:NZ_CP030832.1/CP030832.1; plasmid pNCHU2750e:NZ_CP030833.1/CP030833.1; plasmid pTiNCHU2750:NZ_CP030831.1/CP030831.1",,7,5841,"2018-09-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/675/GCA_003597675.1_ASM359767v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/675/GCF_003597675.1_ASM359767v1"
"Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141","Bacteria;Proteobacteria;Alphaproteobacteria","HAMBI 1141","SAMEA3139072","PRJEB1951","GCA_000731295.1","Complete",6.41318,61.258,"chromosome I:NZ_HG938355.1/HG938355.1; plasmid II:NZ_HG938356.1/HG938356.1; plasmid III:NZ_HG938357.1/HG938357.1",,3,6058,"2014-06-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/295/GCA_000731295.1_RG1141_Ch_pA_pB","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/295/GCF_000731295.1_RG1141_Ch_pA_pB"
"Ochrobactrum pseudogrignonense","Bacteria;Proteobacteria;Alphaproteobacteria","K8","SAMN04994838","PRJNA321461","GCA_001652485.1","Complete",4.9928,53.7131,"chromosome 1:NZ_CP015775.1/CP015775.1; chromosome 2:NZ_CP015776.1/CP015776.1",,2,4577,"2016-05-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/652/485/GCA_001652485.1_ASM165248v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/652/485/GCF_001652485.1_ASM165248v1"
"Ochrobactrum sp. A44","Bacteria;Proteobacteria;Alphaproteobacteria","A44","SAMN07259827","PRJNA391243","GCA_002278035.1","Complete",5.64529,53.1734,"chromosome 1:NZ_CP022604.1/CP022604.1; chromosome 2:NZ_CP022603.1/CP022603.1; plasmid unnamed1:NZ_CP022605.1/CP022605.1; plasmid unnamed2:NZ_CP022602.1/CP022602.1",,4,5137,"2017-08-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/278/035/GCA_002278035.1_ASM227803v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/278/035/GCF_002278035.1_ASM227803v1"
"Ochrobactrum pituitosum","Bacteria;Proteobacteria;Alphaproteobacteria","AA2","SAMN06130960","PRJNA357031","GCA_002025625.1","Complete",5.46737,53.5989,"chromosome 1:NZ_CP018779.1/CP018779.1; chromosome 2:NZ_CP018782.1/CP018782.1; chromosome 3:NZ_CP018780.1/CP018780.1; plasmid pOAAA2:NZ_CP018781.1/CP018781.1",,4,4864,"2017-03-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/625/GCA_002025625.1_ASM202562v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/625/GCF_002025625.1_ASM202562v1"
"Ochrobactrum anthropi","Bacteria;Proteobacteria;Alphaproteobacteria","OAB","SAMN02873951","PRJNA244571","GCA_000742955.1","Complete",4.90116,56.0831,"chromosome 1:NZ_CP008820.1/CP008820.1; chromosome 2:NZ_CP008819.1/CP008819.1; plasmid p1:NZ_CP008817.1/CP008817.1; plasmid p2:NZ_CP008818.1/CP008818.1",,4,4499,"2014-08-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/955/GCA_000742955.1_ASM74295v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/955/GCF_000742955.1_ASM74295v1"
"Ochrobactrum anthropi ATCC 49188","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 49188","SAMN02598421","PRJNA19485","GCA_000017405.1","Complete",5.20578,56.1453,"chromosome 1:NC_009667.1/CP000758.1; chromosome 2:NC_009668.1/CP000759.1; plasmid pOANT01:NC_009669.1/CP000760.1; plasmid pOANT02:NC_009670.1/CP000761.1; plasmid pOANT03:NC_009671.1/CP000762.1; plasmid pOANT04:NC_009672.1/CP000763.1",,6,4870,"2007-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/405/GCA_000017405.1_ASM1740v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/405/GCF_000017405.1_ASM1740v1"
"Rhizobium sp. S41","Bacteria;Proteobacteria;Alphaproteobacteria","S41","SAMN05323143","PRJNA327265","GCA_001691455.1","Complete",5.52437,59.3,"chromosome 1:NZ_CP016320.1/CP016320.1; chromosome 2:NZ_CP016433.1/CP016433.1",,2,5212,"2016-07-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/691/455/GCA_001691455.1_ASM169145v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/691/455/GCF_001691455.1_ASM169145v1"
"Rhizobium favelukesii","Bacteria;Proteobacteria;Alphaproteobacteria","LPU83","SAMEA3138925","PRJEB4920","GCA_000577275.1"," Chromosome",7.03881,59.5503,"chromosome I:NZ_HG916852.1/HG916852.1; plasmid pLPU83b:CBYB000000000.1; plasmid II:NZ_HG916853.1/HG916853.1; plasmid IV:NZ_HG916854.1/HG916854.1; plasmid V:NZ_HG916855.1/HG916855.1","CBYB01",4,7527,"2014-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/275/GCA_000577275.1_LPU83","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/577/275/GCF_000577275.1_LPU83"
"Rhizobium gallicum bv. gallicum R602","Bacteria;Proteobacteria;Alphaproteobacteria","R602","SAMN02393724","PRJNA227036","GCA_000816845.1","Complete",7.31119,59.6336,"chromosome:NZ_CP006877.1/CP006877.1; plasmid pRgalR602a:NZ_CP006878.1/CP006878.1; plasmid pRgalR602b:NZ_CP006879.1/CP006879.1; plasmid pRgalR602c:NZ_CP006880.1/CP006880.1",,4,6674,"2015-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/845/GCA_000816845.1_ASM81684v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/845/GCF_000816845.1_ASM81684v1"
"Rhizobium esperanzae","Bacteria;Proteobacteria;Alphaproteobacteria","N561","SAMN03998640","PRJNA293118","GCA_001664265.1","Complete",6.47865,61.097,"chromosome:NZ_CP013500.1/CP013500.1; plasmid pRspN561a:NZ_CP013501.1/CP013501.1; plasmid pRspN561b:NZ_CP013502.1/CP013502.1; plasmid pRspN561c:NZ_CP013503.1/CP013503.1; plasmid pRspN561d:NZ_CP013504.1/CP013504.1",,5,5997,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/265/GCA_001664265.1_ASM166426v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/265/GCF_001664265.1_ASM166426v1"
"Rhizobium sp. Kim5","Bacteria;Proteobacteria;Alphaproteobacteria","Kim5","SAMN02469451","PRJNA29555","GCA_000172695.2","Complete",6.81726,61.1981,"chromosome:NZ_CP021124.1/CP021124.1; plasmid pRetKim5a:NZ_CP021125.1/CP021125.1; plasmid pRetKim5b:NZ_CP021126.1/CP021126.1; plasmid pRetKim5c:NZ_CP021127.1/CP021127.1; plasmid pRetKim5d:NZ_CP021128.1/CP021128.1",,5,6276,"2017-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/695/GCA_000172695.2_ASM17269v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/695/GCF_000172695.2_ASM17269v2"
"Rhizobium jaguaris","Bacteria;Proteobacteria;Alphaproteobacteria","CCGE525","SAMN10118526","PRJNA492918","GCA_003627755.1","Complete",8.02557,59.4358,"chromosome:NZ_CP032694.1/CP032694.1; plasmid pRCCGE525a:NZ_CP032697.1/CP032697.1; plasmid pRCCGE525b:NZ_CP032696.1/CP032696.1; plasmid pRCCGE525c:NZ_CP032695.1/CP032695.1",,4,7165,"2018-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/627/755/GCA_003627755.1_ASM362775v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/755/GCF_003627755.1_ASM362775v1"
"Rhizobium sp. CIAT894","Bacteria;Proteobacteria;Alphaproteobacteria","CIAT894","SAMN02469455","PRJNA29565","GCA_000172795.2","Complete",6.65795,61.1094,"chromosome:NZ_CP020947.1/CP020947.1; plasmid pRheCIAT894a:NZ_CP020948.1/CP020948.1; plasmid pRheCIAT894b:NZ_CP020949.1/CP020949.1; plasmid pRheCIAT894c:NZ_CP020950.1/CP020950.1; plasmid pRheCIAT894d:NZ_CP020951.1/CP020951.1; plasmid pRheCIAT894e:NZ_CP020952.1/CP020952.1",,6,6120,"2017-04-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/795/GCA_000172795.2_ASM17279v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/795/GCF_000172795.2_ASM17279v2"
"Rhizobium gallicum","Bacteria;Proteobacteria;Alphaproteobacteria","IE4872","SAMN04010568","PRJNA293856","GCA_001908615.1","Complete",7.4742,59.631,"chromosome:NZ_CP017101.1/CP017101.1; plasmid pRgalIE4872a:NZ_CP017102.1/CP017103.1; plasmid pRgalIE4872a:NZ_CP017103.1/CP017103.1; plasmid pRgalIE4872c:NZ_CP017104.1/CP017104.1; plasmid pRgalIE4872d:NZ_CP017105.1/CP017105.1",,5,6795,"2016-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/615/GCA_001908615.1_ASM190861v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/615/GCF_001908615.1_ASM190861v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","N261","SAMN03998625","PRJNA293118","GCA_001664105.1","Complete",6.74075,61.4074,"chromosome:NZ_CP013580.1/CP013580.1; plasmid pRphaN261a:NZ_CP013581.1/CP013581.1; plasmid pRphaN261b:NZ_CP013582.1/CP013582.1; plasmid pRphaN261c:NZ_CP013583.1/CP013583.1; plasmid pRphaN261d:NZ_CP013584.1/CP013584.1",,5,6242,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/105/GCA_001664105.1_ASM166410v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/105/GCF_001664105.1_ASM166410v1"
"Rhizobium sp. IRBG74","Bacteria;Proteobacteria;Alphaproteobacteria","IRBG74","SAMEA3138824","PRJEB4411","GCA_000499645.1","Complete",5.46498,59.1073,"chromosome I:NC_022535.1/HG518322.1; chromosome II:NC_022545.1/HG518323.1; plasmid III:NC_022536.1/HG518324.1",,3,5082,"2013-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/645/GCA_000499645.1_IRBG74","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/645/GCF_000499645.1_IRBG74"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","N831","SAMN03998628","PRJNA293118","GCA_001664125.1","Complete",6.74517,61.3665,"chromosome:NZ_CP013563.1/CP013563.1; plasmid pRphaN831a:NZ_CP013564.1/CP013564.1; plasmid pRphaN831b:NZ_CP013565.1/CP013565.1; plasmid pRphaN831c:NZ_CP013566.1/CP013566.1; plasmid pRphaN831d:NZ_CP013567.1/CP013567.1",,5,6231,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/125/GCA_001664125.1_ASM166412v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/125/GCF_001664125.1_ASM166412v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","N161","SAMN03998624","PRJNA293118","GCA_001664165.1","Complete",6.72033,61.3846,"chromosome:NZ_CP013585.1/CP013585.1; plasmid pRphaN161a:NZ_CP013586.1/CP013586.1; plasmid pRphaN161b:NZ_CP013587.1/CP013587.1; plasmid pRphaN161c:NZ_CP013588.1/CP013588.1; plasmid pRphaN161d:NZ_CP013589.1/CP013589.1",,5,6224,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/165/GCA_001664165.1_ASM166416v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/165/GCF_001664165.1_ASM166416v1"
"Rhizobium sp. IE4771","Bacteria;Proteobacteria;Alphaproteobacteria","IE4771","SAMN02423216","PRJNA230502","GCA_000698845.1","Complete",7.05741,61.0944,"chromosome:NZ_CP006986.1/CP006986.1; plasmid pRetIE4771a:NZ_CP006987.1/CP006987.1; plasmid pRetIE4771b:NZ_CP006988.1/CP006988.1; plasmid pRetIE4771c:NZ_CP006989.1/CP006989.1; plasmid pRetIE4771d:NZ_CP006990.1/CP006990.1; plasmid pRetIE4771e:NZ_CP006991.1/CP006991.1",,6,6461,"2014-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/845/GCA_000698845.1_ASM69884v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/845/GCF_000698845.1_ASM69884v1"
"Rhizobium sp. NT-26","Bacteria;Proteobacteria;Alphaproteobacteria","NT-26","SAMEA3283108","PRJEB4806","GCA_000967425.1","Complete",4.57742,61.8736,"chromosome:NZ_FO082820.1/FO082820.1; plasmid NT26_p1:NZ_FO082821.1/FO082821.1; plasmid NT26_p2:NZ_FO082822.1/FO082822.1",,3,4309,"2012-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/425/GCA_000967425.1_ASM96742v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/425/GCF_000967425.1_ASM96742v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","R744","SAMN03998636","PRJNA293118","GCA_001664185.1","Complete",6.66205,61.3994,"chromosome:NZ_CP013522.1/CP013522.1; plasmid pRphaR744a:NZ_CP013523.1/CP013523.1; plasmid pRphaR744b:NZ_CP013524.1/CP013524.1; plasmid pRphaR744c:NZ_CP013525.1/CP013525.1; plasmid pRphaR744d:NZ_CP013526.1/CP013526.1",,5,6161,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/185/GCA_001664185.1_ASM166418v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/185/GCF_001664185.1_ASM166418v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","R630","SAMN03998633","PRJNA293118","GCA_001664205.1","Complete",6.75256,61.3645,"chromosome:NZ_CP013537.1/CP013537.1; plasmid pRphaR630a:NZ_CP013538.1/CP013538.1; plasmid pRphaR630b:NZ_CP013539.1/CP013539.1; plasmid pRphaR630c:NZ_CP013540.1/CP013540.1; plasmid pRphaR630d:NZ_CP013541.1/CP013541.1",,5,6225,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/205/GCA_001664205.1_ASM166420v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/205/GCF_001664205.1_ASM166420v1"
"Rhizobium sp. N1341","Bacteria;Proteobacteria;Alphaproteobacteria","N1341","SAMN03998639","PRJNA293118","GCA_001664085.1","Complete",6.55556,61.051,"chromosome:NZ_CP013505.1/CP013505.1; plasmid pRspN1341a:NZ_CP013506.1/CP013506.1; plasmid pRspN1341b:NZ_CP013507.1/CP013507.1; plasmid pRspN1341c:NZ_CP013508.1/CP013508.1; plasmid pRspN1341d:NZ_CP013509.1/CP013509.1; plasmid pRspN1341e:NZ_CP013510.1/CP013510.1",,6,6083,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/085/GCA_001664085.1_ASM166408v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/085/GCF_001664085.1_ASM166408v1"
"Rhizobium sp. N731","Bacteria;Proteobacteria;Alphaproteobacteria","N731","SAMN03998643","PRJNA293118","GCA_001664145.1","Complete",6.27451,61.2063,"chromosome:NZ_CP013601.1/CP013601.1; plasmid pRspN731a:NZ_CP013602.1/CP013602.1; plasmid pRspN731b:NZ_CP013603.1/CP013603.1; plasmid pRspN731c:NZ_CP013604.1/CP013604.1; plasmid pRspN731d:NZ_CP013605.1/CP013605.1; plasmid pRspN731e:NZ_CP013606.1/CP013606.1",,6,5829,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/145/GCA_001664145.1_ASM166414v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/145/GCF_001664145.1_ASM166414v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","R723","SAMN03998635","PRJNA293118","GCA_001664225.1","Complete",6.74074,61.4074,"chromosome:NZ_CP013527.1/CP013527.1; plasmid pRphaR723a:NZ_CP013528.1/CP013528.1; plasmid pRphaR723b:NZ_CP013529.1/CP013529.1; plasmid pRphaR723c:NZ_CP013530.1/CP013530.1; plasmid pRphaR723d:NZ_CP013531.1/CP013531.1",,5,6241,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/225/GCA_001664225.1_ASM166422v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/225/GCF_001664225.1_ASM166422v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","R620","SAMN03998632","PRJNA293118","GCA_001664245.1","Complete",6.6307,61.4357,"chromosome:NZ_CP013542.1/CP013542.1; plasmid pRphaR620a:NZ_CP013543.1/CP013543.1; plasmid pRphaR620b:NZ_CP013544.1/CP013544.1; plasmid pRphaR620c:NZ_CP013545.1/CP013545.1; plasmid pRphaR620d:NZ_CP013546.1/CP013546.1",,5,6176,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/245/GCA_001664245.1_ASM166424v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/245/GCF_001664245.1_ASM166424v1"
"Rhizobium sp. N1314","Bacteria;Proteobacteria;Alphaproteobacteria","N1314","SAMN03998638","PRJNA293118","GCA_001664305.1","Complete",6.27451,61.2063,"chromosome:NZ_CP013511.1/CP013511.1; plasmid pRspN1314a:NZ_CP013512.1/CP013512.1; plasmid pRspN1314b:NZ_CP013513.1/CP013513.1; plasmid pRspN1314c:NZ_CP013514.1/CP013514.1; plasmid pRspN1314d:NZ_CP013515.1/CP013515.1; plasmid pRspN1314e:NZ_CP013516.1/CP013516.1",,6,5828,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/305/GCA_001664305.1_ASM166430v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/305/GCF_001664305.1_ASM166430v1"
"Rhizobium sp. N621","Bacteria;Proteobacteria;Alphaproteobacteria","N621","SAMN03998641","PRJNA293118","GCA_001664325.1","Complete",6.42525,61.0923,"chromosome:NZ_CP013495.1/CP013495.1; plasmid pRspN621a:NZ_CP013496.1/CP013496.1; plasmid pRspN621b:NZ_CP013497.1/CP013497.1; plasmid pRspN621c:NZ_CP013498.1/CP013498.1; plasmid pRspN621d:NZ_CP013499.1/CP013499.1",,5,5941,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/325/GCA_001664325.1_ASM166432v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/325/GCF_001664325.1_ASM166432v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","N931","SAMN03998630","PRJNA293118","GCA_001664285.1","Complete",6.7455,61.3664,"chromosome:NZ_CP013552.1/CP013552.1; plasmid pRphaN931a:NZ_CP013553.1/CP013553.1; plasmid pRphaN931b:NZ_CP013554.1/CP013554.1; plasmid pRphaN931c:NZ_CP013555.1/CP013555.1; plasmid pRphaN931d:NZ_CP013556.1/CP013556.1",,5,6232,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/285/GCA_001664285.1_ASM166428v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/285/GCF_001664285.1_ASM166428v1"
"Rhizobium sp. N113","Bacteria;Proteobacteria;Alphaproteobacteria","N113","SAMN03998637","PRJNA293118","GCA_001664345.1","Complete",6.52434,61.0969,"chromosome:NZ_CP013517.1/CP013517.1; plasmid pRspN113a:NZ_CP013518.1/CP013518.1; plasmid pRspN113b:NZ_CP013519.1/CP013519.1; plasmid pRspN113c:NZ_CP013520.1/CP013520.1; plasmid pRspN113d:NZ_CP013521.1/CP013521.1",,5,5994,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/345/GCA_001664345.1_ASM166434v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/345/GCF_001664345.1_ASM166434v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","R650","SAMN03998634","PRJNA293118","GCA_001664385.1","Complete",6.72604,61.3616,"chromosome:NZ_CP013532.1/CP013532.1; plasmid pRphaR650a:NZ_CP013533.1/CP013533.1; plasmid pRphaR650b:NZ_CP013534.1/CP013534.1; plasmid pRphaR650c:NZ_CP013535.1/CP013535.1; plasmid pRphaR650d:NZ_CP013536.1/CP013536.1",,5,6212,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/385/GCA_001664385.1_ASM166438v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/385/GCF_001664385.1_ASM166438v1"
"Rhizobium sp. N6212","Bacteria;Proteobacteria;Alphaproteobacteria","N6212","SAMN03998642","PRJNA293118","GCA_001664465.1","Complete",6.42441,61.0929,"chromosome:NZ_CP013490.1/CP013490.1; plasmid pRspN6212a:NZ_CP013491.1/CP013491.1; plasmid pRspN6212b:NZ_CP013492.1/CP013492.1; plasmid pRspN6212c:NZ_CP013493.1/CP013493.1; plasmid pRspN6212d:NZ_CP013494.1/CP013494.1",,5,5943,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/465/GCA_001664465.1_ASM166446v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/465/GCF_001664465.1_ASM166446v1"
"Rhizobium sp. N324","Bacteria;Proteobacteria;Alphaproteobacteria","N324","SAMN03998646","PRJNA293118","GCA_001664485.1","Complete",6.97259,61.4303,"chromosome RspN324:NZ_CP013630.1/CP013630.1; plasmid pRspN324a:NZ_CP013631.1/CP013631.1; plasmid pRspN324b:NZ_CP013632.1/CP013632.1; plasmid pRspN324c:NZ_CP013633.1/CP013633.1; plasmid pRspN324d:NZ_CP013634.1/CP013634.1; plasmid pRspN324e:NZ_CP013635.1/CP013635.1",,6,6414,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/485/GCA_001664485.1_ASM166448v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/485/GCF_001664485.1_ASM166448v1"
"Rhizobium sp. N871","Bacteria;Proteobacteria;Alphaproteobacteria","N871","SAMN03998645","PRJNA293118","GCA_001664525.1","Complete",6.479,61.0971,"chromosome:NZ_CP013590.1/CP013590.1; plasmid pRspN871a:NZ_CP013591.1/CP013591.1; plasmid pRspN871b:NZ_CP013592.1/CP013592.1; plasmid pRspN871c:NZ_CP013593.1/CP013593.1; plasmid pRspN871d:NZ_CP013594.1/CP013594.1",,5,6021,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/525/GCA_001664525.1_ASM166452v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/525/GCF_001664525.1_ASM166452v1"
